Team Name,Short Name,Coach,Color,Player Name,Player Number
Phantom Disc,PHN,Jane Smith,#e63946,Jordan Brown,75
Phantom Disc,PHN,Jane Smith,#e63946,Kai Gonzalez,12
Phantom Disc,PHN,Jane Smith,#e63946,Ellis Jackson,2
Phantom Disc,PHN,Jane Smith,#e63946,Finn Thomas,17
Phantom Disc,PHN,Jane Smith,#e63946,Alex Martinez,7
Phantom Disc,PHN,Jane Smith,#e63946,Blake Miller,79
Phantom Disc,PHN,Jane Smith,#e63946,Kai Gonzalez,1
Phantom Disc,PHN,Jane Smith,#e63946,Drew Miller,63
Thunderhawks,THK,Bob Davis,#6366f1,Drew Taylor,15
Thunderhawks,THK,Bob Davis,#6366f1,Jordan Taylor,60
Thunderhawks,THK,Bob Davis,#6366f1,Luca Garcia,10
Thunderhawks,THK,Bob Davis,#6366f1,Nico Davis,42
Thunderhawks,THK,Bob Davis,#6366f1,Luca Williams,8
Thunderhawks,THK,Bob Davis,#6366f1,Finn Martinez,27
Thunderhawks,THK,Bob Davis,#6366f1,Hayden Moore,41
Thunderhawks,THK,Bob Davis,#6366f1,Finn Garcia,40
Neon Knights,NEO,Alice Ward,#00f5d4,Finn Martin,63
Neon Knights,NEO,Alice Ward,#00f5d4,Alex Miller,25
Neon Knights,NEO,Alice Ward,#00f5d4,Indigo Moore,62
Neon Knights,NEO,Alice Ward,#00f5d4,Riley Miller,72
Neon Knights,NEO,Alice Ward,#00f5d4,Alex Martin,34
Neon Knights,NEO,Alice Ward,#00f5d4,Ollie Martinez,93
Neon Knights,NEO,Alice Ward,#00f5d4,Gale Anderson,70
Neon Knights,NEO,Alice Ward,#00f5d4,Ollie Anderson,54
Solar Flare,SLR,Marcus Vane,#ffbe0b,Ellis Thomas,31
Solar Flare,SLR,Marcus Vane,#ffbe0b,Finn Anderson,40
Solar Flare,SLR,Marcus Vane,#ffbe0b,Sage Johnson,1
Solar Flare,SLR,Marcus Vane,#ffbe0b,Blake Williams,47
Solar Flare,SLR,Marcus Vane,#ffbe0b,Gale Miller,9
Solar Flare,SLR,Marcus Vane,#ffbe0b,Blake Hernandez,83
Solar Flare,SLR,Marcus Vane,#ffbe0b,Casey Thomas,75
Solar Flare,SLR,Marcus Vane,#ffbe0b,Finn Anderson,22
Arctic Foxes,ARX,Sarah Chill,#fb5607,Ellis Gonzalez,52
Arctic Foxes,ARX,Sarah Chill,#fb5607,Taylor Anderson,37
Arctic Foxes,ARX,Sarah Chill,#fb5607,Morgan Taylor,35
Arctic Foxes,ARX,Sarah Chill,#fb5607,Ellis Taylor,18
Arctic Foxes,ARX,Sarah Chill,#fb5607,Morgan Anderson,40
Arctic Foxes,ARX,Sarah Chill,#fb5607,Drew Rodriguez,79
Arctic Foxes,ARX,Sarah Chill,#fb5607,Drew Hernandez,22
Arctic Foxes,ARX,Sarah Chill,#fb5607,Jordan Thomas,8
Shadow Realm,SHD,Dante Black,#3a0ca3,Taylor Davis,82
Shadow Realm,SHD,Dante Black,#3a0ca3,Luca Garcia,55
Shadow Realm,SHD,Dante Black,#3a0ca3,Alex Garcia,67
Shadow Realm,SHD,Dante Black,#3a0ca3,Casey Taylor,58
Shadow Realm,SHD,Dante Black,#3a0ca3,Quinn Jackson,81
Shadow Realm,SHD,Dante Black,#3a0ca3,Ollie Jones,29
Shadow Realm,SHD,Dante Black,#3a0ca3,Alex Jackson,83
Shadow Realm,SHD,Dante Black,#3a0ca3,Ollie Jackson,30
Iron Giants,IRN,Tony Stark,#adb5bd,Luca Martin,38
Iron Giants,IRN,Tony Stark,#adb5bd,Blake Smith,93
Iron Giants,IRN,Tony Stark,#adb5bd,Morgan Anderson,9
Iron Giants,IRN,Tony Stark,#adb5bd,Luca Anderson,22
Iron Giants,IRN,Tony Stark,#adb5bd,Finn Brown,74
Iron Giants,IRN,Tony Stark,#adb5bd,Casey Martinez,66
Iron Giants,IRN,Tony Stark,#adb5bd,Quinn Gonzalez,64
Iron Giants,IRN,Tony Stark,#adb5bd,Alex Davis,29
Velvet Vipers,VVP,Sly Cooper,#7209b7,Ellis Johnson,81
Velvet Vipers,VVP,Sly Cooper,#7209b7,Blake Gonzalez,14
Velvet Vipers,VVP,Sly Cooper,#7209b7,Ellis Williams,46
Velvet Vipers,VVP,Sly Cooper,#7209b7,Casey Gonzalez,96
Velvet Vipers,VVP,Sly Cooper,#7209b7,Blake Jackson,32
Velvet Vipers,VVP,Sly Cooper,#7209b7,Morgan Anderson,36
Velvet Vipers,VVP,Sly Cooper,#7209b7,Finn Gonzalez,42
Velvet Vipers,VVP,Sly Cooper,#7209b7,Quinn Moore,86
